Views Datasource,7.x-1.x-dev,In progress,https://www.drupal.org/project/views_datasource
Commerce Event Ticket,7.x-1.x-dev,,https://www.drupal.org/project/commerce_event_ticket
Countries,7.x-1.x-dev,In progress,https://www.drupal.org/project/countries
Facebook You Share,7.x-2.0-rc3,,https://www.drupal.org/project/facebook_you_share
Conditional Fields,7.x-3.x-dev,In progress,https://www.drupal.org/project/conditional_fields
Views Send,7.x-1.x-dev,,https://www.drupal.org/project/views_send
Organic groups,7.x-2.x-dev,In progress,https://www.drupal.org/project/og
Nodequeue Menu Mapper,7.x-1.x-dev,,https://www.drupal.org/project/nodequeue_menu_mapper
Commerce Payleap,7.x-1.x-dev,,https://www.drupal.org/project/commerce_payleap
CRM Core,7.x-1.x-dev,In progress,https://www.drupal.org/project/crm_core
Unique field,7.x-1.0-rc1,,https://www.drupal.org/project/unique_field
Maestro,7.x-1.x-dev,,https://www.drupal.org/project/maestro
Commerce Hosted PCI,7.x-1.x-dev,,https://www.drupal.org/project/commerce_hosted_pci
Glazed CMS Bootstrap Core,7.x-1.x-dev,,https://www.drupal.org/project/cms_core
Static Map,7.x-1.x-dev,,https://www.drupal.org/project/staticmap
Glazed CMS Bootstrap WYSIWYG,7.x-1.x-dev,,https://www.drupal.org/project/cms_wysiwyg
Meta tags quick,7.x-2.x-dev,,https://www.drupal.org/project/metatags_quick
Coffee,7.x-2.x-dev,,https://www.drupal.org/project/coffee
Two Factor Authentication,7.x-1.x-dev,,https://www.drupal.org/project/two_factor_authentication
Memcache API and Integration,7.x-1.x-dev,,https://www.drupal.org/project/memcache
Easy Breadcrumb,7.x-2.12,,https://www.drupal.org/project/easy_breadcrumb
EntityFieldQuery Views Backend,7.x-1.x-dev,,https://www.drupal.org/project/efq_views
Views arg parent term,7.x-1.x-dev,,https://www.drupal.org/project/views_arg_parent_term
Responsive Menus,7.x-1.x-dev,In progress,https://www.drupal.org/project/responsive_menus
Configuration Management,7.x-2.x-dev,,https://www.drupal.org/project/configuration
OM Maximenu,7.x-1.x-dev,,https://www.drupal.org/project/om_maximenu
Commerce product comparison,7.x-1.x-dev,,https://www.drupal.org/project/commerce_product_comparison
Christmas Snow,7.x-1.x-dev,,https://www.drupal.org/project/christmas_snow
Link icon,7.x-1.x-dev,,https://www.drupal.org/project/linkicon
Media: Ustream,7.x-1.x-dev,,https://www.drupal.org/project/media_ustream
Exclude Node Title,7.x-1.x-dev,,https://www.drupal.org/project/exclude_node_title
Messaging,7.x-1.x-dev,,https://www.drupal.org/project/messaging
Icon API,7.x-1.x-dev,In progress,https://www.drupal.org/project/icon
Icon API,7.x-1.x-dev,In progress,https://www.drupal.org/project/icon
Taxonomy display,7.x-1.x-dev,In progress,https://www.drupal.org/project/taxonomy_display
CMS Updater,7.x-1.4,,https://www.drupal.org/project/cms_updater
Insert,7.x-1.3,In progress,https://www.drupal.org/project/insert
Environment Indicator,7.x-1.x-dev,,https://www.drupal.org/project/environment_indicator
Geofield Yandex Maps,7.x-1.x-dev,,https://www.drupal.org/project/geofield_ymap
Business,7.x-1.11,,https://www.drupal.org/project/business
Scald: Gallery,7.x-2.x-dev,,https://www.drupal.org/project/scald_gallery
